t,ax,ay,az
3152576,-0.47,-0.20,-1.49
3157116,-0.45,-0.28,-1.53
3161668,-1.66,-0.32,0.46
3166224,-3.22,-0.35,3.11
3170784,-5.71,-0.34,7.26
3175356,-8.04,-0.35,11.18
3179960,-9.45,-0.34,13.72
3184580,-10.43,-0.41,15.23
3189208,-10.21,-0.38,14.96
3193872,-9.03,-0.34,12.94
3198484,-6.94,-0.32,9.47
3203048,-4.97,-0.32,6.14
3207600,-2.75,-0.31,2.48
3212164,-1.46,-0.27,0.17
3216708,-0.71,-0.23,-1.03
3221264,-0.96,-0.35,-0.46
3225808,-2.33,-0.28,1.63
3230348,-3.86,-0.31,4.33
3234908,-6.21,-0.35,8.29
3239456,-8.29,-0.32,11.81
3244068,-9.56,-0.37,13.76
3248672,-10.09,-0.33,14.79
3253328,-9.80,-0.35,14.07
3257916,-8.39,-0.42,11.77
3262528,-6.31,-0.33,8.38
3267076,-4.50,-0.33,5.26
3271640,-2.50,-0.31,1.95
3276192,-1.44,-0.27,0.11
3280752,-1.03,-0.21,-0.55
3285300,-1.48,-0.33,0.22
3289852,-2.96,-0.27,2.65
3294400,-4.51,-0.32,5.43
3298948,-6.67,-0.30,9.05
3303496,-8.21,-0.36,11.65
3308088,-9.51,-0.38,13.77
3312704,-9.78,-0.37,14.30
3317296,-9.20,-0.44,13.35
3321908,-7.77,-0.40,10.91
3326512,-6.17,-0.36,8.18
3331072,-4.13,-0.31,4.55
3335620,-2.69,-0.33,2.21
3340184,-1.54,-0.29,0.25
3344728,-1.41,-0.29,-0.06
3349284,-2.02,-0.35,1.06
3353824,-3.49,-0.36,3.59
3358368,-5.01,-0.30,6.38
3362924,-7.04,-0.29,9.75
3367472,-8.41,-0.36,11.96
3372084,-9.40,-0.40,13.61
3376684,-9.44,-0.36,13.80
3381296,-8.73,-0.34,12.53
3385904,-7.14,-0.34,9.87
3390464,-5.66,-0.34,7.30
3395020,-3.76,-0.37,4.05
3399572,-2.49,-0.34,1.96
3404116,-1.70,-0.30,0.50
3408656,-1.71,-0.29,0.56
3413204,-2.53,-0.34,1.92
3417752,-3.68,-0.36,3.96
3422304,-5.59,-0.33,7.06
3426848,-7.09,-0.37,9.65
3431404,-8.44,-0.37,12.14
3436020,-9.22,-0.38,13.29
3440632,-9.09,-0.34,13.16
3445240,-8.18,-0.30,11.65
3449848,-6.98,-0.32,9.61
3454408,-5.15,-0.30,6.56
3458968,-3.80,-0.35,4.14
3463512,-2.52,-0.34,1.94
3468068,-1.95,-0.37,1.00
3472600,-2.08,-0.32,1.22
3477148,-3.05,-0.35,2.80
3481696,-4.23,-0.31,4.80
3486244,-6.00,-0.33,7.78
3490796,-7.30,-0.38,9.99
3495340,-8.51,-0.40,12.00
3499936,-8.88,-0.33,12.74
3504544,-8.64,-0.35,12.42
3509160,-7.89,-0.32,11.10
3513764,-6.46,-0.32,8.71
3518332,-4.78,-0.29,5.86
3522876,-3.57,-0.28,3.80
3527424,-2.49,-0.29,2.03
3531956,-2.23,-0.29,1.43
3536496,-2.51,-0.30,2.04
3541048,-3.32,-0.37,3.34
3545608,-4.75,-0.37,5.72
3550176,-6.05,-0.35,7.93
3554728,-7.56,-0.30,10.26
3559344,-8.44,-0.33,11.88
3563952,-8.66,-0.39,12.33
3568572,-8.26,-0.29,11.57
3573172,-7.36,-0.32,10.23
3577796,-6.01,-0.36,7.83
3582352,-4.75,-0.32,5.74
3586920,-3.38,-0.33,3.55
3591472,-2.59,-0.27,2.15
3596036,-2.45,-0.28,1.89
3600584,-2.98,-0.27,2.77
3605132,-3.83,-0.28,4.12
3609688,-5.18,-0.40,6.66
3614240,-6.39,-0.24,8.54
3618796,-7.62,-0.38,10.46
3623416,-8.27,-0.38,11.62
3628028,-8.43,-0.34,11.88
